West Eifel Volc Field	50.16999817	6.849999905
AVO2	40.844	15.0217	623.333	74.284393539725
AVO3	40.8741	14.6297	245.312	41.603631997509
BAR5	41.4142	15.0184	689.712	98.434964473389
BAR6	41.409	15.0168	628.86	97.953935035995
BRT1	41.4142	15.0184	689.706	98.434964473389
BSSO	41.5461	14.594	1004.68	88.562473007794
CAB1	41.5604	14.6784	739	93.206038637018
CAFE	41.0281	15.2366	1066.35	94.883482561768
CAIA	41.3063	14.1031	220.343	53.380676555437
CAR4	41.1947	13.9742	142.354	43.161350528257
CERA	41.5977	14.018	904.384	86.293578233011
CSTL	40.2689	14.9409	90.334	91.878951724089
EBOL	40.5466	14.987	83.449	78.003038933211
ENAV	40.5823	14.3349	541.197	31.828271222549
FISC	40.7705	14.7903	309.965	55.18223201148
FOMU	41.356	13.4322	79.832	83.476894400861
FORM	41.2811	13.6994	117.407	62.516471154844
FRUL	40.8779	14.2253	279.857	9.2043203545712
GATE	41.5131	14.9099	470.825	99.918940095241
GRO1	41.067	15.1009	404.423	85.080520737928
GROT	41.0728	15.0599	499.878	82.027418591505
ISCH	40.712	13.9246	224.022	22.124794147823
ISE1	41.5995	14.2355	550.684	86.276537717422
LICO	40.8764	14.0496	52.756	9.3120057508832
MAFE	40.8474	14.2583	95.167	10.289494396769
MCRV	40.7826	15.1682	1175.18	86.765700113643
MFUS	41.0579	14.834	615.324	63.771746674997
MOD2	41.1461	13.8808	375.613	41.577524513389
MORU	40.8596	14.083	165.291	5.9439814653191
NAPO	40.87	14.276	127.729	12.476017188618
NIC1	41.0469	14.3274	100.791	29.126275396511
PACA	40.8705	14.5564	128.125	35.440025252963
PANN	41.0124	14.7009	444.084	51.516595925956
PAOL	41.0312	14.5675	714.587	42.560976909501
PIG3	41.2	14.1799	397.472	41.617464763419
POIS	40.8342	14.0993	69.286	3.4347793803219
POMP	40.7535	14.4939	79.188	30.975356975253
PRIG	40.3124	15.1086	134.101	99.906146997108
PSB1	41.2234	14.8107	588.352	71.538939713975
PTRJ	41.3643	14.5289	1113.1	68.095230043429
RNI2	41.7035	14.1524	1017.98	97.468825614402
ROBS	41.0547	14.7023	256.843	53.662832790863
SAC2	41.3975	14.7058	847.056	79.239809121469
SFCI	41.2498	13.1002	64.742	98.99917213002
SGL1	41.4068	13.7655	100.624	71.661894211595
SICI	40.6215	15.2824	253.691	99.025943771088
SNAL	40.9255	15.2092	865.665	90.643037117011
SOR3	40.6293	14.3964	131.741	30.882162526109
SORR	40.6256	14.3744	119.482	29.91665479619
VAGA	41.4154	14.2343	784.815	65.912317939303
VEN3	40.7947	13.4216	112.578	60.483116492016
Vesuvius	40.82099915	14.42599964
ALIF	41.327	14.3346	167.688	56.783966447926
ANG3	40.9309	15.1839	921.252	64.883443682504
ANZP	41.1235	15.2841	879.56	79.507137702564
AVE1	40.9119	14.7833	420.275	31.699883298134
AVO1	41.1098	15.0827	554.236	63.808664437116
AVO2	40.844	15.0217	623.333	50.183047512011
AVO3	40.8741	14.6297	245.312	18.122830341358
AVO4	40.9004	15.4386	699.702	85.612614479364
BAR5	41.4142	15.0184	689.712	82.543553299157
BAR6	41.409	15.0168	628.86	82.002466445004
BRT1	41.4142	15.0184	689.706	82.543553299157
BSSO	41.5461	14.594	1004.68	81.844076621035
CAB1	41.5604	14.6784	739	84.88681586964
CAFE	41.0281	15.2366	1066.35	71.891054562912
CAIA	41.3063	14.1031	220.343	60.372644359265
CAR4	41.1947	13.9742	142.354	56.248444954139
CDRU	40.4897	15.3047	1046.46	82.77360155961
CERA	41.5977	14.018	904.384	92.864218301037
CMPR	40.3179	15.3029	721.235	92.819314542611
CSTL	40.2689	14.9409	90.334	75.24390056462
EBOL	40.5466	14.987	83.449	56.2906498059
ENAV	40.5823	14.3349	541.197	27.630788195964
FISC	40.7705	14.7903	309.965	31.17641644693
FORM	41.2811	13.6994	117.407	79.559284794253
FRUL	40.8779	14.2253	279.857	18.027851052815
GATE	41.5131	14.9099	470.825	86.966641085081
GRO1	41.067	15.1009	404.423	62.940246373818
GROT	41.0728	15.0599	499.878	60.152957929615
ISCH	40.712	13.9246	224.022	43.931036790853
ISE1	41.5995	14.2355	550.684	88.019823799305
LICO	40.8764	14.0496	52.756	32.253542766148
MAFE	40.8474	14.2583	95.167	14.410851587077
MCRV	40.7826	15.1682	1175.18	62.617840268341
MFUS	41.0579	14.834	615.324	43.224859852695
MOCO	41.3712	15.1586	1072.64	86.669211370457
MOD2	41.1461	13.8808	375.613	58.319428392527
MORU	40.8596	14.083	165.291	29.171598693841
MRLC	40.7564	15.4887	631.491	89.754310457455
NAPO	40.87	14.276	127.729	13.743608299881
NIC1	41.0469	14.3274	100.791	26.449373168468
PACA	40.8705	14.5564	128.125	12.27233389433
PANN	41.0124	14.7009	444.084	31.408713240596
PAOL	41.0312	14.5675	714.587	26.222768436453
PIG3	41.2	14.1799	397.472	46.929956465687
POIS	40.8342	14.0993	69.286	27.527329296744
POMP	40.7535	14.4939	79.188	9.4346345861208
PRIG	40.3124	15.1086	134.101	80.763553830444
PSB1	41.2234	14.8107	588.352	55.169269562593
PTRJ	41.3643	14.5289	1113.1	61.024619013909
ROBS	41.0547	14.7023	256.843	34.84167702764
SAC2	41.3975	14.7058	847.056	68.255574982964
SGL1	41.4068	13.7655	100.624	85.467100996241
SGTA	41.1356	15.3653	716.908	86.262712377351
SICI	40.6215	15.2824	253.691	75.503995700325
SNAL	40.9255	15.2092	865.665	66.869406988819
SOR3	40.6293	14.3964	131.741	21.461415471169
SORR	40.6256	14.3744	119.482	22.158245916615
VAGA	41.4154	14.2343	784.815	68.017151049977
VEN3	40.7947	13.4216	112.578	84.584448129685
VLUC	40.2307	15.2659	444.737	96.683168506938
Ischia	40.72999954	13.89700031
ALIF	41.327	14.3346	167.688	75.856122719813
AVE1	40.9119	14.7833	420.275	77.273532132768
AVO2	40.844	15.0217	623.333	95.533063775777
AVO3	40.8741	14.6297	245.312	63.719670123737
CAIA	41.3063	14.1031	220.343	66.373460878512
CAR4	41.1947	13.9742	142.354	52.077340146316
CERA	41.5977	14.018	904.384	97.014075778589
EBOL	40.5466	14.987	83.449	94.205841044052
ENAV	40.5823	14.3349	541.197	40.425901425401
FISC	40.7705	14.7903	309.965	75.383255191994
FOMU	41.356	13.4322	79.832	79.779148315567
FORM	41.2811	13.6994	117.407	63.483189883046
FRUL	40.8779	14.2253	279.857	32.15626170831
ISCH	40.712	13.9246	224.022	3.0685217549274
LICO	40.8764	14.0496	52.756	20.735992722669
MAFE	40.8474	14.2583	95.167	33.100160387689
MFUS	41.0579	14.834	615.324	86.788854025296
MOD2	41.1461	13.8808	375.613	46.288266968973
MORU	40.8596	14.083	165.291	21.279882084294
NAPO	40.87	14.276	127.729	35.497487437145
NIC1	41.0469	14.3274	100.791	50.504325335586
PACA	40.8705	14.5564	128.125	57.660754310554
PANN	41.0124	14.7009	444.084	74.532223491652
PAOL	41.0312	14.5675	714.587	65.56871211753
PIG3	41.2	14.1799	397.472	57.40644742069
POIS	40.8342	14.0993	69.286	20.600243178206
POMP	40.7535	14.4939	79.188	50.355256284272
PSB1	41.2234	14.8107	588.352	94.305095449805
PTRJ	41.3643	14.5289	1113.1	88.218818805048
ROBS	41.0547	14.7023	256.843	76.717410166629
SFCI	41.2498	13.1002	64.742	88.392480600481
