SITE	LAT	LON	ellipsoid height
ALFA	33.6852	-87.8293	89.179
ALFD	64.9842	-16.0342	731.985
ALFO	30.417	-87.6751	3.03
ALG2	45.9552	-78.0709	202.219
ALG3	45.9548	-78.0727	207.321
ALGA	37.6671	-0.8627	82.693
ALGC	36.111	-5.4442	117.164
ALGO	45.9558	-78.0714	200.897
ALGR	31.829	-86.6174	114.951
ALH1	34.1333	-88.0019	132.693
ALHA	25.4075	81.9362	45.379
ALHC	33.5237	-85.6349	256.558
ALHL	33.8876	-86.398	330.739
ALIA	40.6709	-0.7032	1169.26
ALIC	-23.6701	133.8855	603.278
ALIF	41.327	14.3346	167.688
ALIN	44.9231	8.6163	146.15
ALJA	33.8319	-87.2776	84.303
ALK2	52.6507	4.7437	53.56
ALK3	52.6355	4.7461	70.67
ALKM	52.6404	4.7278	63.036
ALLA	32.9174	-85.4005	237.154
ALLE	45.1988	3.7118	1084.93
ALLG	39.6539	-78.7307	174.553
ALM1	52.3714	5.2224	87.853
ALME	36.8525	-2.4594	127.5
ALMJ	31.029	-88.2297	70.115
ALMO	38.7055	-4.1802	743.351
ALMR	36.8627	-2.4409	198.796
ALNB	31.3775	-85.916	106.902
ALNC	34.6813	-87.3095	156.779
ALON	31.7079	34.6066	55.695
ALOR	39.9344	4.1402	189.531
ALPA	11.528	-72.9178	1.818
ALPE	45.0866	6.0835	1892.17
ALPH	52.1311	4.6256	59.696
ALPP	34.8245	-118.6948	918.073
ALRA	41.7339	14.0344	969.79
ALRE	31.4113	-87.2342	85.245
ALRT	82.4943	-62.3405	78.136
ALSA	42.8915	-2.1644	584.274
ALSC	59.186	-138.3183	28.361
ALSE	32.4474	-87.0118	29.748
ALSN	44.9232	8.6164	146.662
ALSP	34.4181	-87.172	173.807
ALT1	-9.8705	-56.104	282.428
ALT2	40.8228	16.5586	537.787
ALTA	33.4235	-86.1212	148.589
ALTH	36.8896	-120.6698	18.788
ALTR	31.8002	-85.9543	141.127
ALTU	31.8002	-85.9543	141.122
ALU2	47.0419	3.6268	324.049
ALUK	57.4241	27.0719	238.307
ALUM	-27.3234	-66.5966	2737
ALUT	40.5839	-111.6202	2823.99
ALUY	47.0419	3.6268	324.103
ALVN	29.4007	-95.2776	-12.494
ALW2	-34.7099	140.4933	67.443
ALWJ	26.4583	36.3777	112.401
ALX2	31.1971	29.911	57.992
ALXR	43.9699	25.3266	114.383
ALYT	54.3933	24.0397	137.332
AMA1	39.1198	16.0765	58.853
AMAN	1.2219	111.4576	52.647
AMAR	38.2087	-7.2279	266.318
AMAS	40.6657	35.8493	443.697
AMB1	-41.2049	146.3764	62.961
AMB2	45.5406	3.7501	617.593
AMBC	-0.9693	-62.9263	34.871
AMBE	54.4342	-2.9647	110.984
AMBI	25.9809	-97.4827	-8.129
AMBL	49.8594	0.9943	129.94
AMBN	-3.6956	128.1849	87.429
AMBR	45.5406	3.7501	617.429
AMC2	38.8031	-104.5246	1911.38
AMCO	-4.872	-65.334	75.889
AMDE	-20.2416	-67.6274	3715.83
AME1	29.4496	-91.3381	-15.773
AME2	29.4496	-91.3381	-15.789
AME3	29.4496	-91.3381	-15.773
AMEL	53.4465	5.7649	60.639
AMER	51.6772	-0.5594	134.182
AMES	41.9831	-93.6836	288.216
AMHA	-7.5167	-63.0284	69.784
AMHT	45.8319	-64.1881	36.816
AMHU	-7.5032	-63.0285	69.029
AMIY	47.965	2.7282	150.457
AMMN	32.0285	35.8795	1074.52
AMMU	-3.3967	-57.7086	19.706
AMNH	21.5008	39.1676	96.645
AMNS	49.8588	2.2384	90.083
AMOS	48.5629	-78.1115	265.893
AMPE	46.4147	12.799	616.448
AMPR	-2.6312	-56.7343	9.739
AMRF	52.1695	5.353	52.405
AMRI	31.6346	74.8245	198.329
AMS1	48.1468	14.8567	427.371
AMS2	52.3854	4.928	59.301
AMST	48.1468	14.8567	427.371
AMTA	-4.2235	-69.9355	102.981
AMTE	-3.3457	-64.7067	45.816
AMTS	41.7419	-70.6175	-17.838
AMU1	43.0562	-3.0036	299.276
AMU2	-89.9989	-116.5382	2820.11
AMUA	-3.0918	-60.0182	27.461
AMUN	-89.9982	138.9781	2815.3
AMUR	40.9073	16.604	549.451
ANA1	34.015	-119.3635	22.447
ANAT	46.1329	-117.1354	1087.3
ANAU	-38.2682	178.2912	229.333
ANAV	37.7334	23.9041	55.711
ANAY	45.2403	4.6817	440.915
ANC1	61.1824	-149.9968	46.521
ANC2	61.1752	-149.9834	57.847
ANC3	43.6072	13.5316	214.033
ANCA	43.2166	-79.9879	217.04
ANCG	43.6028	13.502	109.79
ANCN	-11.7766	-77.15	74.776
ANCY	45.9007	6.1233	528.788
AND1	48.7908	4.9543	221.175
AND2	12.5863	-81.7007	16.218
ANDA	-30.4533	137.1601	101.383
ANDE	69.3261	16.1348	44.264
ANDO	69.2784	16.0087	413.788
ANDR	37.8864	24.7371	49.235
ANDS	41.5962	-87.1317	163.013
ANDU	38.0404	-4.0303	283.635
ANDY	49.8575	19.3735	396.361
ANG1	29.3015	-95.4851	-9.261
ANG2	29.3016	-95.4849	-9.222
ANG3	40.9309	15.1839	921.252
ANG4	-38.3963	144.1932	19.498
ANG5	29.3015	-95.4851	-9.253
ANG6	29.3016	-95.4849	-9.193
ANG7	46.9186	-71.0931	36.842
ANG8	-37.7959	-72.6917	93.515
ANGE	47.4719	-0.5478	106.085
ANGI	46.4056	-1.4061	56.69
ANGL	51.6893	-5.0792	73.919
ANGO	45.1138	-89.163	418.327
ANGS	-2.5146	140.7043	443.742
ANIG	21.0538	-104.5207	1000.17
ANIP	19.3956	-155.5173	2599.22
ANJM	53.3708	6.1524	45.264
ANKR	39.8874	32.7585	976.044
ANMG	2.7846	101.5066	14.883
ANMU	36.069	32.8651	39.718
ANNE	45.926	6.1026	516.464
ANNO	45.2414	4.6657	465.605
ANOP	35.218	24.096	654.223
ANP1	39.0103	-76.6092	20.375
ANP2	39.0105	-76.6091	21.511
ANP5	39.0103	-76.6092	20.425
ANP6	39.0105	-76.6091	21.63
ANRK	39.856	32.8462	1231.37
ANT1	37.065	37.3736	886.968
ANT2	39.0611	8.4548	68.115
ANT3	51.2032	4.4474	64.215
ANTA	36.8285	30.6094	32.695
ANTB	39.8479	-117.3709	1647.62
ANTC	-37.3387	-71.532	745.383
ANTE	40.1459	-118.1673	1445.11
ANTG	45.6172	-62.0106	14.394
ANTH	-30.6798	26.716	1349.69
ANTI	28.4233	-14.0139	316.048
ANTL	36.8884	30.6664	88.885
ANTV	39.6425	-120.2813	1681.06
ANTW	-36.2954	142.0268	103.546
ANZP	41.1235	15.2841	879.56
AO01	45.7368	7.3214	659.98
AOA1	34.1574	-118.8303	246.561
AOBS	-13.8147	-171.7808	38.8
AOML	25.7347	-80.1622	0.096
AOPR	18.3465	-66.7541	319.525
AOUS	44.7109	5.0578	263.816
APEL	52.2119	5.9623	115.908
APEX	36.3191	-114.9318	761.037
API1	38.3782	-89.3766	121.981
APL1	39.1597	-76.8997	119.213
APLD	52.2159	5.9637	85.937
APLJ	-0.822	-52.5156	36.004
APLT	45.1955	-96.0216	280.956
APNT	19.2644	-155.202	42.009
APOL	-38.759	143.6499	27.101
APPL	51.0569	-4.1997	68.71
APRI	41.5968	12.6646	125.058
APS1	-0.0595	-51.1665	-12.696
APSA	-0.0603	-51.1675	-11.075
APSL	-36.9676	141.0832	112.104
APTO	7.8778	-76.6324	45.206
APVY	44.7329	-93.2097	279.538
AQRA	42.3659	13.3743	747.127
AQSA	39.721	16.0837	881.737
AQUA	32.6794	-114.4854	35.127
AQUI	42.3682	13.3502	713.126
AQUM	42.3276	13.4672	640.544
AR27	33.3418	-117.3249	32.301
AR53	33.3811	-117.4765	111.04
ARA1	40.0253	-3.6125	580.882
ARAC	37.8939	-6.5654	725.099
ARAD	46.1732	21.3446	167.693
ARAN	45.7152	5.4247	289.198
ARAR	-37.2835	142.9337	330.548
ARAT	-37.2828	142.9313	335.835
ARAU	6.4502	100.2797	18.071
ARBR	49.1132	13.1348	1505.29
ARBT	35.7099	-91.6285	91.978
ARBU	39.5248	8.594	312.773
ARC1	39.3667	16.2255	279.707
ARC2	46.6732	0.6534	186.954
ARCA	7.0843	-70.7585	133.308
ARCC	73.0041	-85.0261	23.036
ARCD	-25.2718	148.8579	381.08
ARCE	43.5049	12.9494	408.03
ARCH	38.8804	-109.757	1432.01
ARCM	33.5424	-92.8827	25.543
ARCO	-37.2059	-73.2257	28.267
ARCT	36.3639	-94.3114	391.948
ARD1	41.1113	42.6991	1834.09
ARDH	45.1075	-93.1799	253.133
ARDL	51.9158	0.9619	91.527
ARDN	47.7783	1.8724	191.344
ARDU	41.6658	-3.7426	844.458
ARED	33.2071	-92.6686	57.232
AREG	-16.4654	-71.4929	2489.36
AREL	32.1024	35.2093	706.267
AREQ	-16.4655	-71.4928	2488.95
ARES	44.764	-1.1341	64.958
AREV	-16.4655	-71.4928	2488.91
AREZ	43.4637	11.8749	328.268
ARFY	36.1158	-94.18	349.603
ARG1	27.761	-15.6814	67.838
ARGI	61.9974	-6.7835	110.251
ARGR	45.9465	7.0048	2836.69
ARGU	36.05	-117.5219	1791.34
ARHP	33.6961	-93.6006	84.484
ARHR	36.1842	-93.0302	332.327
ARIA	44.2401	-91.5113	208.787
ARIB	42.9351	-1.2621	1037.43
ARIS	56.9096	-5.8495	61.383
ARIT	-5.0401	32.8255	1204.85
ARJ6	66.318	18.125	489.823
ARJB	35.8479	-90.7472	61.797
ARK1	35.134	25.2689	472.563
ARKI	38.7551	23.0336	42.584
ARKL	52.797	-6.1578	91.739
ARLD	47.1335	4.4864	414.783
ARLI	48.1741	-122.1419	23.286
ARLN	45.7082	-120.1833	120.38
ARLO	49.652	5.8191	428.669
ARLR	34.6726	-92.3826	73.224
ARM1	35.2013	-118.9104	76.817
ARM2	35.2013	-118.9106	76.813
ARM3	36.3692	-92.3731	227.718
ARM4	43.2419	2.766	101.465
ARMC	-22.9568	145.2455	274.211
ARMD	-30.5146	151.6658	1034.73
ARMH	36.3528	-92.3823	233.126
ARMI	6.0624	37.5609	1199.91
ARMU	8.3104	-82.8304	35.284
ARMY	38.4977	-118.4382	1822.02
ARNA	47.9465	0.1809	96.786
ARNB	49.1277	12.9834	577.466
ARNG	43.667	-112.6226	1556.22
ARNH	51.9526	5.8739	76.469
ARNP	45.4353	-76.3565	64.718
ARNR	48.5147	13.9882	643.675
AROL	10.4372	-84.7092	754.014
ARP2	27.8384	-97.0592	-16.39
ARP3	27.8384	-97.059	-16.491
ARP5	27.8384	-97.059	-16.393
ARP6	27.8384	-97.0592	-16.338
ARP7	27.8384	-97.059	-16.428
ARP8	27.8384	-97.0592	-16.401
ARPB	34.1936	-91.9142	36.045
ARPG	36.0591	-90.5188	68.42
ARPK	39.0406	38.4873	1243.58
ARRA	38.4928	-8.9611	409.679
ARRO	48.1005	1.1231	214.887
ARRT	-37.2828	142.9313	335.893
ARSG	36.1728	-94.1166	388.429
ARSH	-3.3869	36.6984	1345.16
ARSL	41.2436	72.9814	963.665
ARSP	40.2067	-5.0828	638.195
ART1	39.1529	20.9333	49.609
ART2	39.1529	20.9333	49.609
ARTA	-38.6176	176.1364	369.779
ARTE	38.9999	-119.4089	1638.3
ARTU	56.4298	58.5605	247.588
ARTV	41.1751	41.8183	662.4
ARUB	-31.8091	125.9244	104.189
ARUC	40.2857	44.0856	1222.15
ARUF	43.0995	-0.4311	482.018
ARUN	-27.9406	153.374	60.583
ARVA	39.8032	-105.0878	1626.45
ARVC	61.098	-94.0715	-30.807
ARVE	45.7437	-1.1076	62.602
ARWY	35.2532	-90.8014	54.765
ASAB	13.0629	42.6544	8.966
ASAP	53.2513	-3.4801	103.4
ASBL	49.6328	-106.0266	740.519
ASBU	43.8206	-121.3685	1508.86
ASC1	-7.9512	-14.4121	105.145
